Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
2410003L11Rik	current symbol	MGI:1916979	2410003L11Rik	RIKEN cDNA 2410003L11 gene	lncRNA gene
2410004I01Rik	current symbol	MGI:1916989	2410004I01Rik	RIKEN cDNA 2410004I01 gene	lncRNA gene
2410004N09Rik	old symbol	MGI:1916999	Epb41l4aos	erythrocyte membrane protein band 4.1 like 4a, opposite strand	lncRNA gene
2410006H16Rik	current symbol	MGI:1916471	2410006H16Rik	RIKEN cDNA 2410006H16 gene	lncRNA gene
2410012E07Rik	current symbol	MGI:1920898	2410012E07Rik	RIKEN cDNA 2410012E07 gene	lncRNA gene
2410017I17Rik	current symbol	MGI:1916967	2410017I17Rik	RIKEN cDNA 2410017I17 gene	lncRNA gene
2410018L13Rik	current symbol	MGI:1916982	2410018L13Rik	RIKEN cDNA 2410018L13 gene	lncRNA gene
2410057H14Rik	old symbol	MGI:1925741	Tspan2os	tetraspanin 2, opposite strand	antisense lncRNA gene
2410088K16Rik	old symbol	MGI:1925900	Platr5	pluripotency associated transcript 5	lncRNA gene
2410137F16Rik	old symbol	MGI:1924048	Srrm4os	serine/arginine repetitive matrix 4, opposite strand	antisense lncRNA gene
2600006L11Rik	old symbol	MGI:1924064	Scarletltr	Scarletltr, erythroid developmental long intergenic non-protein coding transcript	lncRNA gene
2610005L07Rik	current symbol	MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	pseudogene
2610017I09Rik	old symbol	MGI:1913547	Pantr1	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1	lncRNA gene
2610020C07Rik	current symbol	MGI:1917168	2610020C07Rik	RIKEN cDNA 2610020C07 gene	lncRNA gene
2610027K06Rik	current symbol	MGI:1917159	2610027K06Rik	RIKEN cDNA 2610027K06 gene	lncRNA gene
2610028E06Rik	current symbol	MGI:1919645	2610028E06Rik	RIKEN cDNA 2610028E06 gene	lncRNA gene
2610035D17Rik	current symbol	MGI:1919636	2610035D17Rik	RIKEN cDNA 2610035D17 gene	lncRNA gene
2610035F20Rik	current symbol	MGI:1916498	2610035F20Rik	RIKEN cDNA 2610035F20 gene	lncRNA gene
2610037D02Rik	current symbol	MGI:1917290	2610037D02Rik	RIKEN cDNA 2610037D02 gene	lncRNA gene
2610100L16Rik	old symbol	MGI:1917691	Mir124-2hg	Mir124-2 host gene (non-protein coding)	lncRNA gene
2610203C20Rik	old symbol	MGI:1920394	Mir100hg	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	lncRNA gene
2610203C22Rik	current symbol	MGI:1919731	2610203C22Rik	RIKEN cDNA 2610203C22 gene	lncRNA gene
2610204G22Rik	old symbol	MGI:1917698	Atad3aos	ATPase family, AAA domain containing 3A, opposite strand	antisense lncRNA gene
2610206C17Rik	current symbol	MGI:1919745	2610206C17Rik	RIKEN cDNA 2610206C17 gene	lncRNA gene
2610307P16Rik	current symbol	MGI:1919768	2610307P16Rik	RIKEN cDNA 2610307P16 gene	lncRNA gene
2610316D01Rik	current symbol	MGI:1919761	2610316D01Rik	RIKEN cDNA 2610316D01 gene	lncRNA gene
2610507I01Rik	current symbol	MGI:1919453	2610507I01Rik	RIKEN cDNA 2610507I01 gene	lncRNA gene
2700038G22Rik	current symbol	MGI:1914444	2700038G22Rik	RIKEN cDNA 2700038G22 gene	lncRNA gene
2700046A07Rik	current symbol	MGI:1919803	2700046A07Rik	RIKEN cDNA 2700046A07 gene	lncRNA gene
2700046G09Rik	current symbol	MGI:1914438	2700046G09Rik	RIKEN cDNA 2700046G09 gene	lncRNA gene
2700054A10Rik	current symbol	MGI:1919828	2700054A10Rik	RIKEN cDNA 2700054A10 gene	lncRNA gene
2700069I18Rik	current symbol	MGI:1919858	2700069I18Rik	RIKEN cDNA 2700069I18 gene	lncRNA gene
2700081L22Rik	old symbol	MGI:1919898	Smc2os	structural maintenance of chromosomes 2, opposite strand	antisense lncRNA gene
2700086A05Rik	old symbol	MGI:1919878	Hoxaas3	Hoxa cluster antisense RNA 3	antisense lncRNA gene
2700089I24Rik	current symbol	MGI:1919897	2700089I24Rik	RIKEN cDNA 2700089I24 gene	lncRNA gene
2700099C18Rik	current symbol	MGI:1924272	2700099C18Rik	RIKEN cDNA 2700099C18 gene	pseudogene
2810002D19Rik	current symbol	MGI:1913707	2810002D19Rik	RIKEN cDNA 2810002D19 gene	lncRNA gene
2810008D09Rik	old symbol	MGI:1924222	Snhg20	small nucleolar RNA host gene 20	lncRNA gene
2810011L19Rik	old symbol	MGI:1917202	Tunar	Tcl1 upstream neural differentiation associated RNA	lncRNA gene
2810013P06Rik	current symbol	MGI:1914456	2810013P06Rik	RIKEN cDNA 2810013P06 gene	lncRNA gene
2810025M15Rik	current symbol	MGI:1917203	2810025M15Rik	RIKEN cDNA 2810025M15 gene	lncRNA gene
2810029C07Rik	current symbol	MGI:1919920	2810029C07Rik	RIKEN cDNA 2810029C07 gene	lncRNA gene
2810032G03Rik	current symbol	MGI:1919919	2810032G03Rik	RIKEN cDNA 2810032G03 gene	lncRNA gene
2810047C21Rik1	current symbol	MGI:1919966	2810047C21Rik1	RIKEN cDNA 2810047C21 gene 1	lncRNA gene
2810049E08Rik	current symbol	MGI:1919927	2810049E08Rik	RIKEN cDNA 2810049E08 gene	lncRNA gene
2810055G20Rik	old symbol	MGI:1919929	Mir99ahg	Mir99a and Mirlet7c-1 host gene (non-protein coding)	lncRNA gene
2810403D21Rik	current symbol	MGI:1917214	2810403D21Rik	RIKEN cDNA 2810403D21 gene	lncRNA gene
2810404M03Rik	current symbol	MGI:1917216	2810404M03Rik	RIKEN cDNA 2810404M03 gene	lncRNA gene
2810405F15Rik	current symbol	MGI:1917224	2810405F15Rik	RIKEN cDNA 2810405F15 gene	lncRNA gene
2810408I11Rik	current symbol	MGI:1917191	2810408I11Rik	RIKEN cDNA 2810408I11 gene	lncRNA gene
2810410L24Rik	old symbol	MGI:1923627	Reno1	regulator of early neurogenesis 1	lncRNA gene
2810429I04Rik	current symbol	MGI:1924187	2810429I04Rik	RIKEN cDNA 2810429I04 gene	lncRNA gene
2810433D01Rik	current symbol	MGI:1924382	2810433D01Rik	RIKEN cDNA 2810433D01 gene	lncRNA gene
2810442I21Rik	old symbol	MGI:1919985	Eldr	Egfr long non-coding downstream RNA	lncRNA gene
2810442N19Rik	current symbol	MGI:1920003	2810442N19Rik	RIKEN cDNA 2810442N19 gene	lncRNA gene
2810468N07Rik	old symbol	MGI:1920084	Cerox1	cytoplasmic endogenous regulator of oxidative phosphorylation 1	lncRNA gene
2810471M01Rik	current symbol	MGI:1920068	2810471M01Rik	RIKEN cDNA 2810471M01 gene	lncRNA gene
2900002K06Rik	old symbol	MGI:1917476	Rbm3os	RNA binding motif protein 3, opposite strand	antisense lncRNA gene
2900008C10Rik	old symbol	MGI:1918708	Bcor	BCL6 interacting corepressor	protein coding gene
2900009J06Rik	current symbol	MGI:1920137	2900009J06Rik	RIKEN cDNA 2900009J06 gene	lncRNA gene
2900052N01Rik	current symbol	MGI:1920290	2900052N01Rik	RIKEN cDNA 2900052N01 gene	lncRNA gene
2900056M20Rik	old symbol	MGI:1920247	Kantr	Kdm5c adjacent non-coding transcript	lncRNA gene
2900057B20Rik	current symbol	MGI:1920259	2900057B20Rik	RIKEN cDNA 2900057B20 gene	lncRNA gene
2900076A07Rik	current symbol	MGI:1920242	2900076A07Rik	RIKEN cDNA 2900076A07 gene	lncRNA gene
2900079G21Rik	current symbol	MGI:1920268	2900079G21Rik	RIKEN cDNA 2900079G21 gene	lncRNA gene
2900079G21Rik:copy2		No associated gene			
2900093L17Rik	old symbol	MGI:1925758	Frmpd1os	FERM and PDZ domain containing 1, opposite strand	antisense lncRNA gene
2900097C17Rik	old symbol	MGI:1914767	Norad	non-coding RNA activated by DNA damage	lncRNA gene
3010001F23Rik	current symbol	MGI:1922943	3010001F23Rik	RIKEN cDNA 3010001F23 gene	lncRNA gene
3010001F23Rik:copy2		No associated gene			
3010033K07Rik	old symbol	MGI:1924437	Lncbate1	brown adipose tissue enriched long non-coding RNA 1	lncRNA gene
3100003L05Rik	current symbol	MGI:1920326	3100003L05Rik	RIKEN cDNA 3100003L05 gene	lncRNA gene
3110009F21Rik	current symbol	MGI:1914530	3110009F21Rik	RIKEN cDNA 3110009F21 gene	lncRNA gene
3110015C05Rik	current symbol	MGI:1920379	3110015C05Rik	RIKEN cDNA 3110015C05 gene	lncRNA gene
3110021A11Rik	current symbol	MGI:1914539	3110021A11Rik	RIKEN cDNA 3110021A11 gene	lncRNA gene
3110039I08Rik	old symbol	MGI:1920394	Mir100hg	Mir100 Mirlet7a-2 Mir125b-1 cluster host gene	lncRNA gene
3110039M20Rik	current symbol	MGI:1914543	3110039M20Rik	RIKEN cDNA 3110039M20 gene	lncRNA gene
3110056K07Rik	current symbol	MGI:1920454	3110056K07Rik	RIKEN cDNA 3110056K07 gene	lncRNA gene
3110056K07Rik:copy2		No associated gene			
3110099E03Rik	current symbol	MGI:1925761	3110099E03Rik	RIKEN cDNA 3110099E03 gene	lncRNA gene
3200001D21Rik	current symbol	MGI:1919068	3200001D21Rik	RIKEN cDNA 3200001D21 gene	lncRNA gene
3300005D01Rik	current symbol	MGI:1925762	3300005D01Rik	RIKEN cDNA 3300005D01 gene	lncRNA gene
3300005D01Rik:copy2		No associated gene			
3632454L22Rik	current symbol	MGI:2444359	3632454L22Rik	RIKEN cDNA 3632454L22 gene	lncRNA gene
3632454L22Rik:copy2		No associated gene			
3830408C21Rik	current symbol	MGI:1917940	3830408C21Rik	RIKEN cDNA 3830408C21 gene	lncRNA gene
4632415L05Rik	current symbol	MGI:1918058	4632415L05Rik	RIKEN cDNA 4632415L05 gene	pseudogene
4632428C04Rik	current symbol	MGI:1921600	4632428C04Rik	RIKEN cDNA 4632428C04 gene	lncRNA gene
4732416N19Rik	current symbol	MGI:2444634	4732416N19Rik	RIKEN cDNA 4732416N19 gene	lncRNA gene
4732471J01Rik	current symbol	MGI:3603586	4732471J01Rik	RIKEN cDNA 4732471J01 gene	lncRNA gene
4732471J01Rik:copy2		No associated gene			
4732490B19Rik	current symbol	MGI:2442884	4732490B19Rik	RIKEN cDNA 4732490B19 gene	lncRNA gene
4732491K20Rik	current symbol	MGI:3026975	4732491K20Rik	RIKEN cDNA 4732491K20 gene	lncRNA gene
4831440E17Rik	current symbol	MGI:2445144	4831440E17Rik	RIKEN cDNA 4831440E17 gene	lncRNA gene
4833412C05Rik	current symbol	MGI:1921154	4833412C05Rik	RIKEN cDNA 4833412C05 gene	lncRNA gene
4833417C18Rik	current symbol	MGI:1921156	4833417C18Rik	RIKEN cDNA 4833417C18 gene	lncRNA gene
4833418N02Rik	current symbol	MGI:1921847	4833418N02Rik	RIKEN cDNA 4833418N02 gene	lncRNA gene
4833419F23Rik	current symbol	MGI:1921165	4833419F23Rik	RIKEN cDNA 4833419F23 gene	lncRNA gene
4833422C13Rik	current symbol	MGI:3603826	4833422C13Rik	RIKEN cDNA 4833422C13 gene	lncRNA gene
4833422C13Rik:copy2		No associated gene			
4833427F10Rik	current symbol	MGI:1921851	4833427F10Rik	RIKEN cDNA 4833427F10 gene	lncRNA gene
4833428L15Rik	current symbol	MGI:1921852	4833428L15Rik	RIKEN cDNA 4833428L15 gene	lncRNA gene
4921504A21Rik	current symbol	MGI:1918082	4921504A21Rik	RIKEN cDNA 4921504A21 gene	lncRNA gene
4921508A21Rik	old symbol	MGI:1921295	Slc36a1os	solute carrier family 36 (proton/amino acid symporter), member 1, opposite strand	antisense lncRNA gene
4921508D12Rik	current symbol	MGI:1918095	4921508D12Rik	RIKEN cDNA 4921508D12 gene	lncRNA gene
4921509O07Rik	current symbol	MGI:1918167	4921509O07Rik	RIKEN cDNA 4921509O07 gene	lncRNA gene
4921511C10Rik	current symbol	MGI:1918174	4921511C10Rik	RIKEN cDNA 4921511C10 gene	lncRNA gene
4921511I17Rik	current symbol	MGI:1918108	4921511I17Rik	RIKEN cDNA 4921511I17 gene	lncRNA gene
4921513I03Rik	current symbol	MGI:1918124	4921513I03Rik	RIKEN cDNA 4921513I03 gene	lncRNA gene
4921515E04Rik	current symbol	MGI:1918136	4921515E04Rik	RIKEN cDNA 4921515E04 gene	lncRNA gene
4921525B02Rik	old symbol	MGI:1918148	Slain1os	SLAIN motif family, member 1, opposite strand	antisense lncRNA gene
4921525O09Rik	current symbol	MGI:1921300	4921525O09Rik	RIKEN cDNA 4921525O09 gene	lncRNA gene
4921530L18Rik	old symbol	MGI:1918207	Stamos	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1, opposite strand	lncRNA gene
4921531P14Rik	current symbol	MGI:1918210	4921531P14Rik	RIKEN cDNA 4921531P14 gene	lncRNA gene
4922502H24Rik	current symbol	MGI:1925386	4922502H24Rik	RIKEN cDNA 4922502H24 gene	lncRNA gene
4922502N22Rik	current symbol	MGI:1918212	4922502N22Rik	RIKEN cDNA 4922502N22 gene	lncRNA gene
4930401C15Rik	current symbol	MGI:1921053	4930401C15Rik	RIKEN cDNA 4930401C15 gene	lncRNA gene
4930401O10Rik	current symbol	MGI:1921066	4930401O10Rik	RIKEN cDNA 4930401O10 gene	lncRNA gene
4930401O12Rik	current symbol	MGI:1921174	4930401O12Rik	RIKEN cDNA 4930401O12 gene	lncRNA gene
4930404A05Rik	current symbol	MGI:1921070	4930404A05Rik	RIKEN cDNA 4930404A05 gene	lncRNA gene
4930404H11Rik	current symbol	MGI:1921065	4930404H11Rik	RIKEN cDNA 4930404H11 gene	lncRNA gene
4930405A10Rik	current symbol	MGI:1921060	4930405A10Rik	RIKEN cDNA 4930405A10 gene	lncRNA gene
4930405A21Rik	current symbol	MGI:1922096	4930405A21Rik	RIKEN cDNA 4930405A21 gene	lncRNA gene
4930405D11Rik	current symbol	MGI:1921172	4930405D11Rik	RIKEN cDNA 4930405D11 gene	lncRNA gene
4930405P13Rik	old symbol	MGI:1921171	Scpep1os	serine carboxypeptidase 1, opposite strand	antisense lncRNA gene
4930406D18Rik	current symbol	MGI:1921056	4930406D18Rik	RIKEN cDNA 4930406D18 gene	lncRNA gene
4930412B13Rik	current symbol	MGI:1921188	4930412B13Rik	RIKEN cDNA 4930412B13 gene	lncRNA gene
4930412C18Rik	current symbol	MGI:2443490	4930412C18Rik	RIKEN cDNA 4930412C18 gene	lncRNA gene
4930412O13Rik	current symbol	MGI:1921185	4930412O13Rik	RIKEN cDNA 4930412O13 gene	protein coding gene
4930413E15Rik	current symbol	MGI:1921877	4930413E15Rik	RIKEN cDNA 4930413E15 gene	lncRNA gene
4930413G21Rik	current symbol	MGI:1921201	4930413G21Rik	RIKEN cDNA 4930413G21 gene	lncRNA gene
4930413M19Rik	current symbol	MGI:1921139	4930413M19Rik	RIKEN cDNA 4930413M19 gene	lncRNA gene
4930414L22Rik	old symbol	MGI:1925358	Particl	promoter of Mat2a antisense radiation induced circulating long non-coding RNA	lncRNA gene
4930414N06Rik	current symbol	MGI:1921144	4930414N06Rik	RIKEN cDNA 4930414N06 gene	lncRNA gene
4930417O13Rik	current symbol	MGI:1921120	4930417O13Rik	RIKEN cDNA 4930417O13 gene	lncRNA gene
4930417O22Rik	current symbol	MGI:1921137	4930417O22Rik	RIKEN cDNA 4930417O22 gene	lncRNA gene
4930419G24Rik	current symbol	MGI:1921124	4930419G24Rik	RIKEN cDNA 4930419G24 gene	lncRNA gene
4930425K10Rik	current symbol	MGI:1921115	4930425K10Rik	RIKEN cDNA 4930425K10 gene	lncRNA gene
4930425O10Rik	current symbol	MGI:1921885	4930425O10Rik	RIKEN cDNA 4930425O10 gene	lncRNA gene
4930426L09Rik	current symbol	MGI:1921879	4930426L09Rik	RIKEN cDNA 4930426L09 gene	lncRNA gene
4930428E07Rik	current symbol	MGI:1921117	4930428E07Rik	RIKEN cDNA 4930428E07 gene	lncRNA gene
4930428G15Rik	current symbol	MGI:1921106	4930428G15Rik	RIKEN cDNA 4930428G15 gene	lncRNA gene
4930429B21Rik	current symbol	MGI:1914826	4930429B21Rik	RIKEN cDNA 4930429B21 gene	lncRNA gene
4930429D17Rik	current symbol	MGI:1921874	4930429D17Rik	RIKEN cDNA 4930429D17 gene	lncRNA gene
4930429F24Rik	current symbol	MGI:1921883	4930429F24Rik	RIKEN cDNA 4930429F24 gene	lncRNA gene
4930431F12Rik	current symbol	MGI:1923033	4930431F12Rik	RIKEN cDNA 4930431F12 gene	lncRNA gene
4930431P03Rik	current symbol	MGI:1921145	4930431P03Rik	RIKEN cDNA 4930431P03 gene	lncRNA gene
4930432J09Rik	current symbol	MGI:1921127	4930432J09Rik	RIKEN cDNA 4930432J09 gene	lncRNA gene
4930433B08Rik	current symbol	MGI:1921209	4930433B08Rik	RIKEN cDNA 4930433B08 gene	lncRNA gene
4930433N12Rik	current symbol	MGI:2149746	4930433N12Rik	RIKEN cDNA 4930433N12 gene	lncRNA gene
4930434J06Rik	current symbol	MGI:1921917	4930434J06Rik	RIKEN cDNA 4930434J06 gene	lncRNA gene
4930438E09Rik	current symbol	MGI:1921227	4930438E09Rik	RIKEN cDNA 4930438E09 gene	lncRNA gene
4930441J16Rik	current symbol	MGI:1921212	4930441J16Rik	RIKEN cDNA 4930441J16 gene	lncRNA gene
4930441O14Rik	old symbol	MGI:1915521	Zfp85os	zinc finger protein 85, opposite strand	antisense lncRNA gene
4930442J19Rik	current symbol	MGI:1921910	4930442J19Rik	RIKEN cDNA 4930442J19 gene	lncRNA gene
4930443O20Rik	current symbol	MGI:1921937	4930443O20Rik	RIKEN cDNA 4930443O20 gene	lncRNA gene
4930444F02Rik	current symbol	MGI:1921218	4930444F02Rik	RIKEN cDNA 4930444F02 gene	lncRNA gene
4930447J18Rik	current symbol	MGI:1921211	4930447J18Rik	RIKEN cDNA 4930447J18 gene	lncRNA gene
4930447K03Rik	current symbol	MGI:1921231	4930447K03Rik	RIKEN cDNA 4930447K03 gene	lncRNA gene
4930447N08Rik	current symbol	MGI:1918897	4930447N08Rik	RIKEN cDNA 4930447N08 gene	lncRNA gene
4930448C13Rik	current symbol	MGI:1921222	4930448C13Rik	RIKEN cDNA 4930448C13 gene	lncRNA gene
4930448H16Rik	current symbol	MGI:1922122	4930448H16Rik	RIKEN cDNA 4930448H16 gene	lncRNA gene
4930448I06Rik	current symbol	MGI:1922147	4930448I06Rik	RIKEN cDNA 4930448I06 gene	lncRNA gene
4930448I18Rik	current symbol	MGI:1921215	4930448I18Rik	RIKEN cDNA 4930448I18 gene	lncRNA gene
4930452A19Rik	current symbol	MGI:1925363	4930452A19Rik	RIKEN cDNA 4930452A19 gene	lncRNA gene
4930452G13Rik	current symbol	MGI:1921239	4930452G13Rik	RIKEN cDNA 4930452G13 gene	lncRNA gene
4930453L07Rik	current symbol	MGI:1921938	4930453L07Rik	RIKEN cDNA 4930453L07 gene	lncRNA gene
4930455C13Rik	current symbol	MGI:1921240	4930455C13Rik	RIKEN cDNA 4930455C13 gene	lncRNA gene
4930455D15Rik	current symbol	MGI:1923045	4930455D15Rik	RIKEN cDNA 4930455D15 gene	lncRNA gene
4930455F16Rik	current symbol	MGI:1922126	4930455F16Rik	RIKEN cDNA 4930455F16 gene	lncRNA gene
4930455H04Rik	current symbol	MGI:1921904	4930455H04Rik	RIKEN cDNA 4930455H04 gene	protein coding gene
4930455J16Rik	current symbol	MGI:1914835	4930455J16Rik	RIKEN cDNA 4930455J16 gene	lncRNA gene
4930456L15Rik	current symbol	MGI:1918900	4930456L15Rik	RIKEN cDNA 4930456L15 gene	lncRNA gene
4930459L07Rik	current symbol	MGI:1925413	4930459L07Rik	RIKEN cDNA 4930459L07 gene	lncRNA gene
4930461G14Rik	current symbol	MGI:1922129	4930461G14Rik	RIKEN cDNA 4930461G14 gene	lncRNA gene
4930465M20Rik	current symbol	MGI:1922218	4930465M20Rik	RIKEN cDNA 4930465M20 gene	lncRNA gene
4930467D21Rik	current symbol	MGI:1923064	4930467D21Rik	RIKEN cDNA 4930467D21 gene	lncRNA gene
4930467K11Rik	current symbol	MGI:1922178	4930467K11Rik	RIKEN cDNA 4930467K11 gene	lncRNA gene
4930470H14Rik	current symbol	MGI:1923065	4930470H14Rik	RIKEN cDNA 4930470H14 gene	lncRNA gene
4930470P17Rik	current symbol	MGI:1914887	4930470P17Rik	RIKEN cDNA 4930470P17 gene	protein coding gene
4930471C04Rik	current symbol	MGI:1925426	4930471C04Rik	RIKEN cDNA 4930471C04 gene	lncRNA gene
4930471G03Rik	current symbol	MGI:1922216	4930471G03Rik	RIKEN cDNA 4930471G03 gene	lncRNA gene
4930471M09Rik	current symbol	MGI:1922150	4930471M09Rik	RIKEN cDNA 4930471M09 gene	lncRNA gene
4930473A02Rik	current symbol	MGI:2447823	4930473A02Rik	RIKEN cDNA 4930473A02 gene	lncRNA gene
4930474G06Rik	current symbol	MGI:2444381	4930474G06Rik	RIKEN cDNA 4930474G06 gene	lncRNA gene
4930474H20Rik	current symbol	MGI:1922217	4930474H20Rik	RIKEN cDNA 4930474H20 gene	lncRNA gene
4930474M22Rik	current symbol	MGI:1922167	4930474M22Rik	RIKEN cDNA 4930474M22 gene	lncRNA gene
4930478L05Rik	current symbol	MGI:1923068	4930478L05Rik	RIKEN cDNA 4930478L05 gene	lncRNA gene
4930478P22Rik	current symbol	MGI:1922154	4930478P22Rik	RIKEN cDNA 4930478P22 gene	lncRNA gene
4930479M11Rik	old symbol	MGI:1922177	Pmis2	PMIS2 transmembrane protein	protein coding gene
4930480G23Rik	current symbol	MGI:1922238	4930480G23Rik	RIKEN cDNA 4930480G23 gene	lncRNA gene
4930480M12Rik	current symbol	MGI:1922180	4930480M12Rik	RIKEN cDNA 4930480M12 gene	lncRNA gene
4930481A15Rik	current symbol	MGI:1922181	4930481A15Rik	RIKEN cDNA 4930481A15 gene	lncRNA gene
4930483K19Rik	current symbol	MGI:1922203	4930483K19Rik	RIKEN cDNA 4930483K19 gene	lncRNA gene
4930483O08Rik	current symbol	MGI:1922220	4930483O08Rik	RIKEN cDNA 4930483O08 gene	lncRNA gene
4930486F22Rik	current symbol	MGI:1925420	4930486F22Rik	RIKEN cDNA 4930486F22 gene	lncRNA gene
4930486I03Rik	current symbol	MGI:1922278	4930486I03Rik	RIKEN cDNA 4930486I03 gene	lncRNA gene
4930488B22Rik	current symbol	MGI:1922221	4930488B22Rik	RIKEN cDNA 4930488B22 gene	lncRNA gene
4930500F04Rik	current symbol	MGI:1922182	4930500F04Rik	RIKEN cDNA 4930500F04 gene	lncRNA gene
4930500J02Rik	old symbol	MGI:1922209	Platr14	pluripotency associated transcript 14	lncRNA gene
4930500L23Rik	current symbol	MGI:1922223	4930500L23Rik	RIKEN cDNA 4930500L23 gene	lncRNA gene
4930502A04Rik	current symbol	MGI:1922201	4930502A04Rik	RIKEN cDNA 4930502A04 gene	lncRNA gene
4930503E24Rik	current symbol	MGI:1922280	4930503E24Rik	RIKEN cDNA 4930503E24 gene	pseudogene
4930503H13Rik	current symbol	MGI:1922191	4930503H13Rik	RIKEN cDNA 4930503H13 gene	pseudogene
4930503O07Rik	current symbol	MGI:1922192	4930503O07Rik	RIKEN cDNA 4930503O07 gene	lncRNA gene
4930506C21Rik	current symbol	MGI:1922310	4930506C21Rik	RIKEN cDNA 4930506C21 gene	lncRNA gene
4930507D05Rik	current symbol	MGI:1921956	4930507D05Rik	RIKEN cDNA 4930507D05 gene	lncRNA gene
4930509E16Rik	current symbol	MGI:1922365	4930509E16Rik	RIKEN cDNA 4930509E16 gene	lncRNA gene
4930509J09Rik	current symbol	MGI:1921943	4930509J09Rik	RIKEN cDNA 4930509J09 gene	lncRNA gene
4930511A02Rik	current symbol	MGI:1921962	4930511A02Rik	RIKEN cDNA 4930511A02 gene	lncRNA gene
4930511M06Rik	current symbol	MGI:1922334	4930511M06Rik	RIKEN cDNA 4930511M06 gene	lncRNA gene
4930512B01Rik	current symbol	MGI:1921974	4930512B01Rik	RIKEN cDNA 4930512B01 gene	lncRNA gene
4930513D17Rik	current symbol	MGI:1922345	4930513D17Rik	RIKEN cDNA 4930513D17 gene	lncRNA gene
4930513N10Rik	current symbol	MGI:2443064	4930513N10Rik	RIKEN cDNA 4930513N10 gene	lncRNA gene
4930515B02Rik	current symbol	MGI:1922378	4930515B02Rik	RIKEN cDNA 4930515B02 gene	lncRNA gene
4930515L03Rik	current symbol	MGI:1922319	4930515L03Rik	RIKEN cDNA 4930515L03 gene	lncRNA gene
4930515L19Rik	current symbol	MGI:1922383	4930515L19Rik	RIKEN cDNA 4930515L19 gene	lncRNA gene
4930517E11Rik	current symbol	MGI:1921952	4930517E11Rik	RIKEN cDNA 4930517E11 gene	lncRNA gene
4930518P08Rik	current symbol	MGI:1918904	4930518P08Rik	RIKEN cDNA 4930518P08 gene	lncRNA gene
4930519D14Rik	current symbol	MGI:1922340	4930519D14Rik	RIKEN cDNA 4930519D14 gene	lncRNA gene
4930519F24Rik	current symbol	MGI:1922047	4930519F24Rik	RIKEN cDNA 4930519F24 gene	lncRNA gene
4930519H02Rik	current symbol	MGI:1922308	4930519H02Rik	RIKEN cDNA 4930519H02 gene	lncRNA gene
4930520O04Rik	current symbol	MGI:1922366	4930520O04Rik	RIKEN cDNA 4930520O04 gene	lncRNA gene
4930520P13Rik	current symbol	MGI:1922336	4930520P13Rik	RIKEN cDNA 4930520P13 gene	lncRNA gene
4930523C07Rik	current symbol	MGI:1914897	4930523C07Rik	RIKEN cDNA 4930523C07 gene	protein coding gene
4930523O13Rik	current symbol	MGI:1921976	4930523O13Rik	RIKEN cDNA 4930523O13 gene	lncRNA gene
4930524C18Rik	current symbol	MGI:1923072	4930524C18Rik	RIKEN cDNA 4930524C18 gene	lncRNA gene
4930524L23Rik	old symbol	MGI:1925435	Flicr	Foxp3 regulating long intergenic noncoding RNA	lncRNA gene
4930524O05Rik	current symbol	MGI:1922346	4930524O05Rik	RIKEN cDNA 4930524O05 gene	lncRNA gene
4930524O08Rik	current symbol	MGI:1921950	4930524O08Rik	RIKEN cDNA 4930524O08 gene	lncRNA gene
4930525D18Rik	current symbol	MGI:1922350	4930525D18Rik	RIKEN cDNA 4930525D18 gene	lncRNA gene
4930525G20Rik	current symbol	MGI:2443505	4930525G20Rik	RIKEN cDNA 4930525G20 gene	lncRNA gene
4930526I15Rik	current symbol	MGI:1922385	4930526I15Rik	RIKEN cDNA 4930526I15 gene	lncRNA gene
4930526L06Rik	current symbol	MGI:1922388	4930526L06Rik	RIKEN cDNA 4930526L06 gene	lncRNA gene
4930527F14Rik	current symbol	MGI:1914901	4930527F14Rik	RIKEN cDNA 4930527F14 gene	lncRNA gene
4930527G23Rik	current symbol	MGI:1925449	4930527G23Rik	RIKEN cDNA 4930527G23 gene	lncRNA gene
4930528P14Rik	current symbol	MGI:1925443	4930528P14Rik	RIKEN cDNA 4930528P14 gene	lncRNA gene
4930529F24Rik	old symbol	MGI:1922420	Nrg3os	neuregulin 3, opposite strand	antisense lncRNA gene
4930529K09Rik	current symbol	MGI:1922405	4930529K09Rik	RIKEN cDNA 4930529K09 gene	lncRNA gene
4930533B01Rik	current symbol	MGI:1922416	4930533B01Rik	RIKEN cDNA 4930533B01 gene	lncRNA gene
4930533P14Rik	current symbol	MGI:1922409	4930533P14Rik	RIKEN cDNA 4930533P14 gene	lncRNA gene
4930539C22Rik	current symbol	MGI:1922458	4930539C22Rik	RIKEN cDNA 4930539C22 gene	lncRNA gene
4930539J05Rik	current symbol	MGI:1922477	4930539J05Rik	RIKEN cDNA 4930539J05 gene	lncRNA gene
4930539M17Rik	current symbol	MGI:1922399	4930539M17Rik	RIKEN cDNA 4930539M17 gene	lncRNA gene
4930539N22Rik	current symbol	MGI:1922453	4930539N22Rik	RIKEN cDNA 4930539N22 gene	lncRNA gene
